负责人	学校名称	世界排名	学院	专业名称	学制	总学费（当地货币）	申请起止日	语言要求	是否需要GRE	是否有面试	是否要作品集/writing sample/essay
				现代史硕士							
			哲学、宗教与科学史学院	哲学硕士							
				宗教硕士							
			土木工程学院	交通基础设施：设计与施工理学硕士							
				国际建筑管理与工程硕士							
				岩土工程理学硕士							
				工程项目管理硕士							
				建筑学硕士							
				建筑设计硕士							
				水、卫生与健康工程理学硕士							
				环境工程与项目管理理学硕士							
				结构工程理学硕士							
				铁路工程与项目管理理学硕士							
			地球与环境学院	勘探地球物理学理学硕士							
				可持续发展与咨询理学硕士							
				可持续发展与商业理学硕士							
				可持续城市理学硕士							
				可持续性、环境与发展硕士							
				可持续粮食系统与粮食安全硕士							
				工程地质学理学硕士							
				气候未来硕士：科学、社会和政治							
				环境科学硕士							
				生态经济学理学硕士							
			地理学院	地理信息系统理学硕士							
				城市数据科学与分析理学硕士							
				环境数据科学与分析硕士							
			媒体与传播学院	传播与媒体硕士							
				国际传播硕士							
				国际新闻学硕士							
				媒体行业硕士							
				宣传媒体硕士							
				政治传播硕士							
				数字媒体硕士							
				电影、摄像与媒体硕士							
			心理学院	健康心理学硕士							
				认知发展与障碍理学硕士							
			政治与国际研究学院	全球发展与教育硕士							
				全球发展硕士							
				全球政治经济学硕士							
				全球治理与外交硕士							
				冲突、发展与和平建设硕士							
				国际关系硕士							
				国际安全硕士							
				恐怖主义与叛乱硕士							
				政治学理学硕士							
			教育学院	TESOL研究硕士							
				儿童研究硕士							
				对外英语教学硕士							
				对外英语教学硕士（中国）							
				教育学硕士							
				数学理学硕士							
				数据科学与分析理学硕士							
				统计学与金融应用理学硕士							
				统计学理学硕士							
			机械工程学院	医学工程理学硕士							
				机电一体化与机器人工程硕士							
				汽车工程理学硕士							
				航空航天工程理学硕士							
				高级制造与自动化硕士							
				高级机械工程理学硕士							
			法学院	刑事司法与刑法法学硕士							
				刑事司法与犯罪学理学硕士							
				国际人权法法学硕士							
				国际公司法法学硕士							
				国际商法法学硕士							
				国际法与全球治理法学硕士							
				国际贸易法法学硕士							
				国际银行与金融法法学硕士							
				法律与社会正义法学硕士							
				法律与金融理学硕士							
				知识产权法法学硕士							
			牙科学院	口腔外科理学硕士							
				牙科公共卫生理学硕士							
				牙科材料理学硕士							
			物理与天文学学院	物理理学硕士							
				空间物理学硕士							
			生物科学学院	全球保护科学理学硕士							
				可持续农业与食品生产硕士							
				感染，免疫与人类疾病理学硕士							
				植物科学与生物技术理学硕士							
				生物制药发展（产业布局）理学硕士							
				生物制药发展理学硕士							
				生物多样性与保护与非洲实地课程理学硕士							
				生物多样性与保护理学硕士							
				生物技术与商业企业理学硕士							
				生物科学理学硕士							
				精准医学：基因组学与分析理学硕士							
				药物发现与开发理学硕士							
				运动与运动医学理学硕士							
			电子与电气工程学院	嵌入式系统工程理学硕士							
				工程、技术与商业管理硕士							
				电子与电气工程理学硕士							
				电气工程与可再生能源系统理学硕士							
				通信与信号处理理学硕士							
			社会学与社会政策学院	性别研究硕士							
				社会、文化与传媒硕士							
				社会与公共政策硕士							
				社会研究硕士							
			美术、艺术史与文化研究学院	批判与文化理论硕士							
				美术硕士							
				美术馆与博物馆研究硕士							
				艺术社会史硕士							
				艺术管理与遗产研究硕士							
			英语学院	创意写作硕士							
				后殖民研究硕士							
				数字人文与文化硕士							
				英国文学硕士							
			表演与文化产业学院	全球表演与文化产业硕士							
				应用戏剧与社会变革硕士							
				文化、创意与创业硕士							
				表演和数字媒体写作硕士							
				表演设计硕士							
				观众与参与硕士							
			计算机学院	高性能图形与游戏工程理学硕士							
				高级计算机科学（云计算）理学硕士							
				高级计算机科学（人工智能）理学硕士							
				高级计算机科学（数据分析）理学硕士							
				高级计算机科学理学硕士							
			设计学院	全球时尚管理硕士							
				广告与设计硕士							
				数字设计未来硕士							
				时尚、企业与社会硕士							
				纺织可持续发展与创新理学硕士							
				设计硕士							
			语言、文化与社会学院	专业语言与跨文化研究硕士							
				会议口译与笔译研究硕士							
				应用翻译研究硕士							
				电影研究硕士							
				视听翻译和本地化硕士							
				语言学与英语教学硕士							
				语言学硕士							
			跨学科伦理应用中心	生物医学和医疗保障伦理学硕士							
			音乐学院	批判和实验性作曲音乐硕士							
				音乐与健康硕士							
				音乐与数据科学硕士							
				音乐学硕士							
				音乐应用心理学硕士							
				音乐管理硕士							
				音乐表演硕士							
			食品科学与营养学院	营养学硕士							
				食品产品创新硕士							
				食品科学（食品生物技术）理学硕士							
				食品科学与营养理学硕士							
				食品科学理学硕士							
	南安普顿大学	87	医学院	临床运动生理学硕士							
				公共卫生硕士							
				医疗技术、创新与设计硕士							
				基因组学硕士							
				生物医学科学研究硕士							
				癌症生物学和免疫学硕士							
			南安普顿商学院	会计与管理硕士							
				会计与金融硕士							
				可持续金融硕士							
				商业分析和管理科学硕士							
				商业分析和金融硕士							
				商业战略和创新管理硕士							
				国际会计与可持续发展硕士							
				国际会计与治理硕士							
				国际创业与管理硕士							
				国际管理硕士							
				工商管理硕士							
				市场营销分析硕士							
				市场营销管理硕士							
				战略运营和供应链管理硕士							
				数字商务硕士							
				数字战略和信息系统硕士							
				数字营销硕士							
				物流和供应链分析硕士							
				管理与人工智能硕士							
				管理学硕士							
				航运金融硕士							
				金融与投资硕士							
				金融硕士							
				银行与金融硕士							
				项目管理硕士							
				风险与金融硕士							
				风险管理硕士							
			南安普顿教育学院	教育学硕士							
				教育实践与创新硕士							
				教育管理与领导力硕士							
			南安普顿法学院	国际商法和公司法硕士							
				国际法和人权硕士							
				法学硕士							
				海事法硕士							
			工程与物理科学学院	交通规划与工程：基础设施硕士							
				交通规划与工程：行为硕士							
				交通规划与工程：运营硕士							
				人因工程与人体工学硕士							
				人工智能硕士							
				光学工程硕士							
				化学硕士							
				可持续能源技术硕士							
				听力学含临床实习硕士							
				土木工程硕士							
				声学与振动工程硕士							
				嵌入式计算系统欧洲硕士							
				工程材料（高级机械工程科学）硕士							
				微电子系统设计硕士							
				推进和发动机系统工程（高级机械工程科学）硕士							
				数字化学硕士							
				数据科学硕士							
				机器人与自主系统硕士							
				机器学习硕士							
				机电一体化（高级机械工程科学）硕士							
				海事工程科学 ：海洋工程与自治硕士							
				海事工程科学：海军建筑工程							
				海事工程科学：海洋能源与海洋工程硕士							
				海事工程科学：游艇和高性能工艺硕士							
				海事工程科学：高级计算工程硕士							
				物联网硕士							
				生物医学工程硕士							
				电力系统硕士							
				电化学和电池技术硕士							
				电子工程硕士							
				移动通信和智能网络硕士							
				空气动力学与计算硕士							
				空间系统工程硕士							
				系统、控制和信号处理硕士							
				网络安全硕士							
				能源与可持续发展：能源、环境与建筑硕士							
				能源与可持续发展：能源、资源与气候变化硕士							
				计算工程设计（高级机械工程科学）硕士							
				计算机科学硕士							
				赛车空气动力学硕士							
				软件工程硕士							
				高级化学工程硕士							
				高级听力学硕士							
			数学科学学院	医学应用统计学硕士							
				数据和决策分析硕士							
				精算学硕士							
				统计学硕士							
				运筹学与数据科学硕士							
				运筹学与金融硕士							
			温彻斯特艺术学院	传播设计硕士							
				全球广告与品牌硕士							
				创意技术硕士							
				奢侈品品牌管理硕士							
				当代策展硕士							
				数字媒体硕士							
				时尚管理硕士							
				时尚营销与品牌硕士							
				时尚设计硕士							
				纺织设计硕士							
				美术硕士							
				艺术与文化领导力硕士							
				设计创新与技术理学硕士							
				设计创新与技术硕士							
				设计管理硕士							
			环境与生命科学学院	临床心理学基础硕士							
				健康与社会关怀的领导与管理硕士							
				健康心理学硕士							
				健康科学专业实践硕士							
				全球海洋资源管理硕士							
				可持续发展硕士							
				地球物理学硕士							
				地理信息系统和遥感硕士							
				应用海岸与近海地球科学硕士							
				心理学：研究方法硕士							
				心理学：社会心理学硕士							
				心理学：认知心理学硕士							
				心理学硕士							
				截肢和假肢康复硕士							
				护理学硕士：儿童							
				护理学硕士：心理健康							
				护理学硕士：成人							
				水资源管理硕士							
				海洋与地球科学研究硕士							
				海洋学硕士							
				海洋环境与资源硕士							
				环境咨询硕士							
				环境污染控制硕士							
				环境监测与评估硕士							
				生物多样性和保护硕士							
			经济、社会和政治科学学院	人口学社会研究方法硕士							
				全球健康硕士							
				全球社会学：挑战、干预和行动硕士							
				公共管理硕士							
				国家安全与风险硕士							
				国际犯罪学与刑事司法硕士							
				应用统计学的社会研究方法硕士							
				应用统计学硕士							
				政府数据分析硕士							
				政治学硕士							
				经济学硕士							
				老年学（研究）硕士							
				老年学硕士							
				金融与经济学硕士							
				金融与计量经济学硕士							
			艺术与人文学院	全球商业伦理与管理哲学硕士							
				全球媒体与出版管理硕士							
				全球挑战-历史、政策与实践硕士							
				创意写作硕士							
				历史硕士							
				哲学硕士							
				商业和遗产管理硕士							
				国际音乐管理硕士							
				大屠杀：历史、经历、遗产硕士							
				对外英语教学硕士							
				应用语言学硕士							
				数字人文（数据科学）硕士							
				文化遗产研究（遗产与艺术）硕士							
				文化遗产研究（遗产和公共历史）硕士							
				文化遗产研究（遗产和博物馆）硕士							
				文化遗产研究硕士							
				海洋考古学理学硕士							
				电影和文化管理硕士							
				电影研究硕士							
				翻译技术与数字传播硕士							
				考古学（古人类学）硕士							
				考古学（生物考古学）硕士							
				考古学硕士							
				英语文学研究（二十世纪及当代）硕士							
				英语文学研究（十九世纪）硕士							
				英语文学研究（十八世纪）硕士							
				英语文学研究（后殖民和世界文学）硕士							
				英语文学研究硕士							
				语言和文化硕士							
				面向资深教师的对外英语教学硕士							
				音乐（作曲）硕士							
				音乐（教育）硕士							
				音乐（表演）硕士							
				音乐（音乐学）硕士							
				高等考古实践硕士							
	格拉斯哥大学	79	亚当·史密斯商学院	人力资源管理硕士							
				企业与商业增长管理学硕士							
				企业金融与银行硕士							
				全球文化企业硕士							
				可持续发展与公司治理硕士							
				商业分析硕士							
				国际人力资源管理与发展硕士							
				国际会计与财务管理硕士							
				国际商务硕士							
				国际战略营销硕士							
				国际管理与设计创新硕士							
				国际金融与经济学							
				国际金融分析硕士							
				国际金融硕士							
				工商管理硕士（MBA）							
				投资银行与金融硕士							
				环境与可持续发展硕士							
				管理与可持续旅游硕士（邓弗里斯校区）							
				管理与营销硕士							
				管理学研究型硕士							
				管理学硕士							
				经济发展硕士（金融和政策方向）							
				经济学、国家银行与金融硕士							
				经济学与金融学数据分析硕士							
				经济学研究型硕士							
				经济学硕士							
				财务管理与私募股权投资硕士							
				金融与管理硕士							
				金融工程学硕士							
				金融科技硕士							
				金融经济学硕士							
				金融风险管理硕士							
			人文学院	中世纪历史硕士							
				全球历史硕士							
				历史学硕士							
				古代文化硕士							
				古典学与古代史硕士							
				哲学：知识与社会硕士（2026开放申请）							
				哲学硕士							
				哲学硕士（转换）							
				图书馆与信息研究硕士							
				心灵与心理学哲学硕士（转专业）							
				心灵哲学与心理学硕士							
				性别史硕士							
				战争研究硕士							
				数字人文硕士							
				早期现代史硕士							
				档案、记录和信息管理硕士							
				物质文化和手工艺品研究硕士							
				现代史硕士							
				考古学硕士							
				苏格兰历史硕士							
				赔偿性司法硕士							
			健康与福祉学院	临床神经心理学知识与实践（医学科学）硕士							
				临床神经心理学硕士（医学科学）							
				全球心理健康硕士							
				公共卫生硕士							
				应用神经心理学硕士（医学科学）							
			分子生物科学学院	再生医学的干细胞工程硕士							
				工业生物技术硕士							
				工业生物技术硕士，带工业实习							
				生物医学科学研究型硕士							
				生物医学科学硕士							
				生物技术与管理硕士							
				生物技术硕士							
				科学传播硕士							
				食品安全硕士							
			化学学院	化学与药物化学理学硕士							
				化学硕士							
			医学、牙科学和护理学学院	临床药理学硕士（医学科学）							
				临床试验硕士							
				人类营养学硕士（医学科学）							
				医学可视化与人体解剖学硕士							
				医学物理学硕士							
				医学遗传学和基因组学硕士（医学科学）							
				医疗保健高级实践硕士（医学）							
				卫生服务管理硕士							
				口腔科学硕士							
				口腔颌面外科（牙科学）硕士							
				牙髓病学（牙科学）硕士（2026不招生）							
				高级护理科学硕士							
			地理与地球科学学院	人类地理学硕士：空间、政治、生态							
				可持续水环境硕士							
				可持续水环境硕士（加札马达大学双学位）							
				土地和水文测量学硕士							
				土地和水文测量学硕士，带工作实习							
				土地和水文测量学硕士（加札马达大学双学位）							
				地球未来硕士：环境、社区、关系							
				地理信息学与管理硕士							
				地理信息技术与制图学硕士							
				地理空间与测绘科学硕士							
				地理空间数据科学与建模硕士							
				气候与环境科学硕士							
				空间科学硕士							
				计算地球科学硕士							
				计算地球科学硕士（加札马达大学双学位）							
			心理学和神经科学学院	心理科学，研究方法硕士							
				心理科学硕士（转换）							
				整合神经科学硕士							
				行为科学硕士							
			心血管与代谢健康学院	心血管和代谢疾病医学科学硕士							
				精确医学硕士							
				运动与运动科学和医学硕士							
			感染与免疫学院	免疫学和炎症性疾病硕士							
				感染生物学硕士（含方向）							
				生物信息学硕士							
			批判研究学院	创意写作硕士							
				宗教与全球挑战硕士（2026年开放申请）							
				应用语言学硕士							
				英国文学硕士							
				英国文学硕士：奇幻							
				英国文学硕士：现代性-文学、文化、理论							
				英国文学硕士：美国现代文学（2026不招生）							
				英语语言和语言学硕士							
				语音、语言和社会语言学硕士							
			教育学院	儿童文学、媒体与文化创业国际硕士（Erasmus Mundus国际硕士）							
				儿童文学与识字硕士							
				全球发展教育政策国际硕士（Erasmus Mundus国际硕士）							
				全纳教育硕士：研究、政策与实践							
				博物馆和遗产教育国际硕士（Erasmus Mundus国际硕士）							
				博物馆教育硕士							
				对外英语教学教育硕士（TESOL）							
				对外英语教学理学硕士（TESOL）							
				心理学研究硕士（转换）							
				成人学习、社区发展与青年工作实践硕士							
				教育、公共政策与公平硕士							
				教育研究教育硕士							
				教育研究理学硕士							
			数学与统计学院	数学/应用数学硕士							
				数据分析硕士							
				统计学硕士							
				高级统计学硕士							
			文化与创意艺术学院	书籍与纸张保护哲学硕士							
				全球市场管理艺术和文化遗产国际硕士（Erasmus Mundus国际硕士）							
				创意产业与文化政策硕士							
				创意声音设计与视听媒体硕士							
				博物馆研究硕士							
				媒体管理硕士							
				戏剧与表演实践硕士							
				戏剧创作和戏剧编辑硕士							
				戏剧研究硕士							
				电影与电视研究硕士							
				电影制作与媒体艺术硕士							
				电影策展硕士							
				策展实践硕士（当代艺术）（与格拉斯哥艺术学院合作）							
				纺织品保护硕士							
				艺术史硕士							
				艺术史硕士：技术艺术史，制作和意义							
				艺术史硕士：服务和纺织品历史							
				音乐产业硕士							
				音乐学硕士							
			法学院	人权法硕士							
				公司与金融法法律硕士							
				国际商法硕士							
				国际法与安全法学硕士							
				国际法硕士							
				国际竞争法与政策法学硕士							
				国际经济法硕士							
				技术法律与法规发学硕士							
				气候法与正义硕士							
				法学硕士							
				知识产权与数字经济法学硕士							
			物理与天文学学院	传感器和成像系统硕士							
				天体物理学硕士							
				核与环境物理学硕士							
				理论物理学硕士							
				量子技术硕士							
				高级功能材料硕士							
				高级成像和传感硕士							
			现代语言与文化学院	比较文学硕士							
				翻译与跨文化交际硕士							
			生物多样性、一体健康和兽医学院	传染性疾病和抗菌剂抗性流行病学硕士							
				动物福利科学、伦理学和法律硕士							
				应用自然保护科学硕士							
				生态与环境生物学研究型硕士							
				生态学与环境监测硕士（等弗里斯校区）							
				生物多样性、保护和流行病学的定量方法硕士							
				非洲生态系统保护管理硕士							
			癌症科学学院	癌症研究与精准肿瘤学硕士							
				癌症研究硕士（含专业方向）							
			社会与政治科学学院	中欧、东欧、俄罗斯和欧亚研究国际硕士（国际硕士）（2026不招生）							
				人权与国际政治学硕士							
				俄罗斯、东欧和欧亚研究硕士							
				全球传播硕士							
				全球卫生政策与社会硕士							
				全球发展硕士							
				全球安全硕士							
				全球市场，本地创意国际硕士（Erasmus Mundus国际硕士）							
				全球经济硕士							
				公共政策与管理硕士							
				公共政策硕士							
				国际关系硕士							
				国际关系硕士-南开大学							
				城市交通硕士							
				城市分析硕士							
				城市规划与房地产开发硕士							
				城市规划硕士							
				媒体、传播和国际新闻学硕士							
				媒体、文化与社会硕士							
				安全、情报和战略研究国际硕士（国际硕士）							
				房地产硕士							
				政治传播学硕士							
				数字社会硕士							
				犯罪学与刑事司法硕士							
				社会学硕士							
				社会科学研究方法硕士							
				可持续综合海岸带管理硕士（邓弗里斯校区）							
				旅游与遗产硕士（邓弗里斯校区）							
			詹姆斯-瓦特工程科学学院	产品设计工程硕士							
				医学技术创新硕士							
				医疗器械工程硕士							
				可持续能源硕士							
				可持续能源硕士（加札马达大学双学位）							
				土木工程与管理硕士							
				土木工程硕士							
				机器人学与人工智能硕士							
				机器人学与人工智能硕士（加札马达大学双学位）							
				机械工程与管理硕士							
				机械工程硕士							
				机电学硕士							
				生物医学工程硕士							
				电子和光子学制造硕士							
				电子电器工程及管理硕士							
				电子电气工程及管理硕士（加札马达大学双学位）							
				电子电气工程硕士							
				纳米科学和纳米技术硕士							
				结构工程硕士							
				结构工程硕士（加札马达大学双学位）							
				航空工程与管理硕士							
				航空航天工程硕士							
				计算机系统工程硕士							
				计算机系统工程硕士（加札马达大学双学位）							
			计算机学院	人机交互硕士							
				信息技术硕士							
				数据科学硕士							
				网络安全硕士							
				计算机科学硕士							
				软件开发硕士							
			计算机科学学院	数据科学							
			跨学科研究学院	加强教育实践硕士（邓弗里斯校区）							
				可持续旅游与全球挑战硕士（邓弗里斯校区）							
				城市与区域规划硕士-南开大学							
				环境、文化与交流硕士（邓弗里斯校区）							
				环境科学硕士-南开大学							
				环境风险管理硕士（邓弗里斯校区）							
	谢菲尔德大学	92	健康学院	临床神经病学硕士	一年	35840	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				临床研究硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				卫生经济学和决策建模硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				公共卫生硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				公共卫生（卫生服务研究）硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				公共卫生（管理和领导）硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				生殖与发育医学硕士	一年	35840	9.15-次年9.1	雅思：总分7，小分6.5     托福：总分95，听力21，阅读写作22，口语23	无明确说明	无明确说明	
				言语和语言治疗硕士	两年	32905	9.15-次年9.1	雅思：总分8，小分7.5     托福：总分110，听力24，阅读写作26，口语27	无明确说明	需要	
				欧洲公共卫生硕士	两年	18000	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				转化神经科学硕士	一年	34340	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				癌症生物学与治疗学硕士	一年	35480	9.15-次年9.1	雅思：总分7，小分6.5     托福：总分95，听力21，阅读写作22，口语23	无明确说明	无明确说明	
			工程学院	人工智能硕士	一年	34340	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				制药工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				可持续与能源工程硕士	一年	34340	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				土木工程与项目管理硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				土木与结构工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				工程学人工智能硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				工艺安全与损失预防硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				数字制造工程硕士	一年	无明确说明	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				无线通信系统硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				机器人学硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				机械工程与工业管理硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				材料科学与工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				生物医学工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				生物和生物工艺工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				电子电气工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				网络安全和人工智能硕士	一年	34340	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				能源工程与工业管理硕士	一年	34340	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				航空航天工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				计算机科学与语言与自然语言处理硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				计算机科学硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				高级冶金硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				高级控制和系统工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				高级机械工程硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				高级计算机科学硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
			理学院	人类和分子遗产学硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				分子生物学和生物技术硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	maybe	
				化学硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				天体物理学硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				心理研究方法硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				数学和理论物理硕士	一年	29190	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				数学硕士	一年	29190	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				物理学硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				生物医学硕士	一年	35840	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				生物多样性和保护硕士	一年	35840	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				科学人工智能硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				科学传播硕士	一年	29190	9.15-次年9.1	雅思：总分7，小分6.5     托福：总分95，听力21，阅读写作22，口语23	无明确说明	无明确说明	
				统计学硕士	一年	29190	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				药物研发科学硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				认知和计算神经科学硕士	一年	35840	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				认知神经科学和人类神经影像学硕士	一年	35840	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				金融数学统计学硕士	一年	29190	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
			社会科学学院	信息管理硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				信息系统硕士	一年	30625	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				信息系统管理硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				全球新闻硕士	一年	27755	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				商业金融与经济学硕士	一年	32905	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				国际公共和政治传播硕士	一年	27755	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				国际关系硕士	一年	26320	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				国际发展硕士	一年	29190	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				国际政治经济学硕士	一年	26320	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				图书馆学硕士	一年	27755	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				地理信息系统（GIS）硕士	一年	29190	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				城市和区域规划硕士	一年	26320	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				城市设计与规划硕士	一年	27755	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				建筑：协作实践硕士	两年	32100	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
				建筑学硕士	两年	32100	9.15-次年9.1	雅思：总分6.5，小分6     托福：总分88，听力写作19，阅读20，口语22	无明确说明	无明确说明	
